Date,City Name,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
02/02/19,"BARROW, AK",16,16,4.5,6,16,33,43.5,52,34.5,19.5,8,6
07/17/18,"BIG DELTA,AK",,20.5,11,10,38.5,119,,,51.5,36.5,29.5,
12/29/17,"EL PASO, TX",22.5,,13,11.5,19,,74.5,87.5,80.5,,21,38.5
06/12/17,"YUMA, AZ",19,14,,4.5,2.5,1,11.5,30.5,,13,,21
11/24/16,"FAIRBANKS, AK",28,18,14,,30,70,,87,56,46,34,37
05/08/16,"ROSWELL, NM",19.5,20.5,17.5,29,65,81,99.5,,99,64.5,26.5,29.5
10/21/15,"GULKANA,AK",22.5,26,18,11,,77,91,90,72,,33.5,48.5
04/04/15,"KOTZEBUE, AK",27.5,21,19,20.5,16.5,28.5,,100,85,47.5,35.5,30
09/16/14,"UNALAKLEET, AK",20,15.5,19.5,17.5,27.5,62.5,,146,105,44.5,33,23.5
02/28/14,"MIDLAND-ODESSA, TX",26.5,29,,36.5,89.5,85.5,94.5,88.5,,88.5,32.5,32.5
